;species;subsp;lat;lon;collectionCode;year;basis
305;Crax fasciolata;NA;-20.7598;-56.0951;EBIRD;2019;GBIF
306;Crax fasciolata;NA;-9.97933;-50.0365;EBIRD;2019;GBIF
307;Crax fasciolata;NA;-19.9543;-56.3043;EBIRD;2013;GBIF
308;Crax fasciolata;NA;-6.06071;-50.0608;EBIRD_BRA;2019;GBIF
309;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2019;GBIF
310;Crax fasciolata;NA;-15.7596;-57.1535;EBIRD;2019;GBIF
311;Crax fasciolata;NA;-9.61459;-55.9322;EBIRD;2019;GBIF
312;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2017;GBIF
313;Crax fasciolata;NA;-20.5569;-51.8939;EBIRD;2008;GBIF
314;Crax fasciolata;NA;-9.79127;-56.3285;EBIRD;2019;GBIF
315;Crax fasciolata;NA;-17.2826;-56.6988;EBIRD;2019;GBIF
316;Crax fasciolata;NA;-19.9543;-56.3043;EBIRD;2018;GBIF
317;Crax fasciolata;NA;-18.3937;-52.6644;EBIRD_MA;2019;GBIF
318;Crax fasciolata;NA;-16.4069;-56.6699;EBIRD;2016;GBIF
319;Crax fasciolata;NA;-15.0378;-51.2885;EBIRD;2018;GBIF
320;Crax fasciolata;NA;-20.3063;-47.0715;EBIRD;2019;GBIF
321;Crax fasciolata;NA;-6.06071;-50.0608;EBIRD;2019;GBIF
322;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD_TX;2019;GBIF
323;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2019;GBIF
324;Crax fasciolata;NA;-9.59756;-55.9314;EBIRD;2019;GBIF
325;Crax fasciolata;NA;-15.7377;-47.9193;EBIRD;2019;GBIF
326;Crax fasciolata;NA;-16.5046;-56.6749;EBIRD;2019;GBIF
327;Crax fasciolata;NA;-17.1174;-56.9292;EBIRD;2008;GBIF
328;Crax fasciolata;NA;-20.0956;-55.9648;EBIRD;2018;GBIF
329;Crax fasciolata;NA;-20.0858;-56.6154;EBIRD;2011;GBIF
330;Crax fasciolata;NA;-5.96501;-50.3647;EBIRD;2011;GBIF
331;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2019;GBIF
332;Crax fasciolata;NA;-16.5131;-56.3778;EBIRD;2019;GBIF
333;Crax fasciolata;NA;-16.7481;-56.8575;EBIRD;2019;GBIF
334;Crax fasciolata;NA;-19.5778;-56.1507;EBIRD;2018;GBIF
335;Crax fasciolata;NA;-19.9543;-56.3043;EBIRD;2013;GBIF
336;Crax fasciolata;NA;-17.2826;-56.6988;EBIRD;2017;GBIF
337;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2019;GBIF
338;Crax fasciolata;NA;-16.6196;-56.7347;EBIRD;2019;GBIF
339;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2019;GBIF
340;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2019;GBIF
341;Crax fasciolata;NA;-20.0956;-55.9648;EBIRD;2019;GBIF
342;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD;2019;GBIF
343;Crax fasciolata;NA;-16.7481;-56.8575;EBIRD;2018;GBIF
344;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2012;GBIF
345;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2019;GBIF
346;Crax fasciolata;NA;-10.723;-49.477;EBIRD;2011;GBIF
347;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD;2019;GBIF
